stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_stationroutes,
2541,2541,"34 Street & 76 Avenue",,  53.512319,-113.392545,,,0,83:306,
2542,2542,"83 Street & 71 Avenue",,  53.506471,-113.455169,,,0,8,
2543,2543,"104A Street & 51 Avenue",,  53.488061,-113.497160,,,0,6:80,
2544,2544,"79 Street & 101 Avenue",,  53.541578,-113.449219,,,0,1:94,
2545,2545,"St Gabriel School Road & 106 Avenue",,  53.550743,-113.421576,,,0,1,
2546,2546,"85 Street & 76 Avenue",,  53.512330,-113.458677,,,0,151,
2547,2547,"83 Street & 106 Avenue",,  53.549415,-113.456137,,,0,1:88,
2548,2548,"89 Street & 78 Avenue",,  53.514409,-113.464331,,,0,151,
2549,2549,"83 Street & 82 Avenue",,  53.517165,-113.455223,,,0,4:8:60:61:64:65:66:68:69:71,
2550,2550,"50 Street & 92 Avenue",,  53.526682,-113.417625,,,0,80:85,
2551,2551,"83 Street & 82 Avenue",,  53.518834,-113.454947,,,0,8:15:60:61:64:65:66:68:69:71:72:80:82:83:90:96:306,
2552,2552,"87 Street & 95 Avenue",,  53.531821,-113.461180,,,0,112,
2553,2553,"73 Street & 94B Avenue",,  53.532356,-113.440074,,,0,86:112,
2554,2554,"81 Street & 101 Avenue",,  53.541171,-113.452218,,,0,85,
2555,2555,"71 Street & 80 Avenue",,  53.515845,-113.436896,,,0,151,
2556,2556,"86 Street & 53 Avenue",,  53.489763,-113.454991,,,0,8:60:61:64:65:66:68:69:71:81:87,
2557,2557,"43A Street & 68 Avenue",,  53.504952,-113.411469,,,0,83,
2558,2558,"105 Street & 51 Avenue",,  53.488099,-113.499617,,,0,6:52:80,
2559,2559,"60 Street & 85 Avenue",,  53.520169,-113.425329,,,0,80,
2560,2560,"49 Street & 98 Avenue",,  53.537527,-113.415579,,,0,80:85,
2561,2561,"45 Street & 103 Avenue",,  53.544998,-113.411205,,,0,1,
2562,2562,"45 Street & 105A Avenue",,  53.548926,-113.411333,,,0,1,
2563,2563,"96 Street & 74 Avenue",,  53.511071,-113.476547,,,0,81:87,
2564,2564,"92 Street & 92 Avenue",,  53.526934,-113.468417,,,0,151,
2565,2565,"87 Street & 76 Avenue",,  53.512252,-113.460139,,,0,151,
2566,2566,"63 Street & 101 Avenue",,  53.541672,-113.429256,,,0,1,
2567,2567,"74 Street & 101 Avenue",,  53.541276,-113.441855,,,0,1:91:99,
2568,2568,"57 Street & 94B Avenue",,  53.533971,-113.423139,,,0,4,
2569,2569,"Low Level Bridge & 98 Avenue",,  53.537568,-113.484652,,,0,85:86,
2570,2570,"84 Street & 98 Avenue",,  53.538416,-113.456469,,,0,85,
2571,2571,"75 Street & 82 Avenue",,  53.517932,-113.441645,,,0,82:151,
2572,2572,"83 Street & 80 Avenue",,  53.515884,-113.455218,,,0,8:80:83,
2573,2573,"96 Street & 66 Avenue",,  53.503246,-113.476367,,,0,81:87,
2574,2574,"58 Street & 94 Avenue",,  53.531791,-113.423531,,,0,85:86,
2575,2575,"92 Street & 98 Avenue",,  53.538247,-113.469283,,,0,85:86,
2576,2576,"91 Street & 85 Avenue",,  53.520527,-113.467537,,,0,151,
2577,2577,"65 Street & 107A Avenue",,  53.553243,-113.430240,,,0,88:94,
2578,2578,"63 Street & 101 Avenue",,  53.541264,-113.430075,,,0,1:91:99,
2579,2579,"75 Street & Argyll Road",,  53.507863,-113.443895,,,0,80,
2580,2580,"50 Street & 109 Avenue",,  53.557525,-113.418889,,,0,88:94,
2581,2581,"Argyll Road & 76 Avenue",,  53.512351,-113.437562,,,0,83:151:306,
2582,2582,"87 Street & 76 Avenue",,  53.512324,-113.461701,,,0,151,
2583,2583,"56 Street & 109 Avenue",,  53.557376,-113.423266,,,0,88:94,
2584,2584,"45 Street & 103 Avenue",,  53.544745,-113.411844,,,0,1:307,
2585,2585,"Donnell Road & 95 Avenue",,  53.531698,-113.470081,,,0,112:322,
2586,2586,"50 Street & 104A Avenue",,  53.547094,-113.418754,,,0,88:94,
